Doctor ID,Doctor Name,Education,Speciality,Experience,Chamber,Location,Concentration,MBBS,FCPS,BCS,MD,MS,MCPS,CCD,PGT,BDS,MPH,location
11,Assoc. Prof. Dr. Salma Anam,"['MBBS', 'FCPS', 'MS']","General Surgeon
Plastic Surgeon",23,BRAC Healthcare | Mirpur, Dhaka-1216,"['Acne Treatment', 'Birthmark Reduction', 'Body Contouring Surgery', 'Burn Scar Reconstruction', 'Colonoscopy', 'Cosmetic Surgery', 'Dermatosurgery', 'Endosurgery', 'Fistula Surgery', 'Lip Reconstruction', 'Liposuction', 'Minor Surgery', 'Reconstructive Surgery', 'Rhinoplasty', 'Robotic Surgery', 'Vascular Malformation Treatment', 'Webbed Fingers / Toes Correction', 'Safe Ear Piercing For Infants And Children']",1,1,0,0,1,0,0,0,0,0,DHAKA-DHAKA-1216
12,Assoc. Prof. Dr. M. S. Arefin Patwary,"['MBBS', 'FCPS', 'MCPS', 'FELLOW IN RHEUMATOLOGY']","Rheumatologist
Medicine Specialist",15,Popular Diagnostic Centre Ltd. | Shantinagar (Unit 1), Dhaka-1217,"['Adolescent Medicine', 'Aesthetic Medicine', 'Arthritis', 'General Health', 'General Illness', 'General Medicine', 'Geriatric Medicine', 'Infectious Disease Treatment', 'Medical Advisor', 'Rheumatism Treatment', 'Rheumatology', 'Vaccination/ Immunization', 'Health Checkup (General)']",1,1,0,0,0,1,0,0,0,0,DHAKA-1217
13,Prof. Dr. Syed Azizul Haque,"['MBBS', 'FCPS', 'MD', 'FRCP']",Cardiologist,21,Medinova Medical Services Ltd.| Dhanmondi, Dhaka-1209,"['Acute Care Imaging', 'Cardiac Ablation', 'Cardiac Ablation', 'Cardiac Anesthesia', 'Cardiac Catheterization', 'Cardiac Disease', 'Cardiac Invasive Procedures', 'Cardiac Medicine', 'Cardiac Mri', 'Cardiac Pacing', 'Cardiac Rehabilitation', 'Cardiac Transplant', 'Cardic Tmt', ' Ecg', ' Echo', 'Cardio Thoracic Surgery', 'Cardiogenic Shock', 'Cardiography', 'Cardiology', 'Cardiomyopathy']",1,1,0,1,0,0,0,0,0,0,DHAKA-1209
14,Dr. Wahida Rahman,"['MBBS', 'BCS', 'FCPS']",Gynecologist & Obstetrician,15,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['All Gynae Surgery', 'Cosmetic Laser Gynaecologist', 'Gynae Check Up', 'Gynae Problems', 'Gynae Problems', 'Gynaec Laparoscopy', 'Gynaecological Endoscopy', 'Gynec Advices', 'Gynecologic Oncology', 'Gynecological Cancer Treatment', 'Maternal Care', 'Maternal Care/ Checkup', 'Ob-Gyn Anesthesia', 'Obstetrics & Gynecology', 'Uro Gynecological Problems', 'Maternal Fetal Medicine']",1,1,1,0,0,0,0,0,0,0,DHAKA-1209
15,Prof. Dr. Neke Akhtar,"['MBBS', 'FCPS']",Gynecologist & Obstetrician,20,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Advaced Laproscopic Gynaecological Surgery', 'All Gynae Surgery', 'Diseases In Pregnancy', 'Doppler Scan In Pregnancy', 'Gynae Check Up', 'Gynae Problems', 'Gynaec Laparoscopy', 'Gynaecological Endoscopy', 'Gynec Advices', 'Gynecologic Oncology', 'Gynecological Cancer Treatment', 'Gynecomastia Treatment / Surgery', 'Laparoscopic Surgery (Obs & Gyn)', 'Ob-Gyn Anesthesia', 'Obstetrics & Gynecology', 'Complicated Pregnancy Treatment']",1,1,0,0,0,0,0,0,0,0,DHAKA-1209
16,Prof. Dr. Amiruzzaman Sumon,"['MBBS', 'FCPS']",Medicine Specialist,20,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Adolescent Medicine', 'Aesthetic Medicine', 'Cardiac Medicine', 'Critical Care Medicine', 'Dengue Fever', 'Family Medicine', 'Fetal Medicine', 'Fetomaternal Medicine', 'General Medicine', 'Geriatric Medicine', 'Immediate Dentures', 'Kidney Medicine', 'Lung & Mediastinal Tumors', 'Maternal Fetal Medicine', 'Mediastinoscopy', 'Medical Advisor', 'Fever Treatment']",1,1,0,0,0,0,0,0,0,0,DHAKA-1209
17,Prof. Dr. Md. Nurul Amin Miah,"['MBBS', 'MD', 'FACP', 'FRCP']",Internal Medicine Specialist,20,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Adolescent Medicine', 'Aesthetic Medicine', 'Cardiac Medicine', 'Critical Care Medicine', 'Family Medicine', 'Fetal Medicine', 'Fetomaternal Medicine', 'General Medicine', 'Geriatric Medicine', 'Kidney Medicine', 'Maternal Fetal Medicine', 'Medical Oncology', 'Medical Peels', 'Medical Vitiligo Treatment']",1,0,0,1,0,0,0,0,0,0,DHAKA-1209
18,Prof. Dr. Alamgir Kabir,"['MBBS', 'FCPS']",Hematologist,35,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Acute Hematologic Disorder', 'Benign Hematology Treatment', 'Blood Banking', 'Blood Calcium', 'Blood Cancer Specialist', 'Blood Clots', 'Blood Disease', 'Blood Disorder Treatment', 'Blood Group Test', 'Blood In Motion', 'Blood In Urine', 'General Hematology', 'Brain Hemorrhage']",1,1,0,0,0,0,0,0,0,0,DHAKA-1209
19,Dr. Sayem Hossain,"['MBBS', 'MS']",Urologist,10,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Kidney Function Test', 'Prostate Gland', 'Urinary Bladder', 'Andrology', 'Venereal Disease', 'Urethra', 'Endourology', 'Erectile Dysfunction', 'Minimal Invasive Urology', 'Urology Consultation', 'Varicoceles & Male Infertility', 'Male Infertility Treatment']",1,0,0,0,1,0,0,0,0,0,DHAKA-1209
20,Prof. Dr. Md. Fazlul Kadir,"['MBBS', 'FCPS']",Internal Medicine Specialist,35,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Abnormal Uterine Bleeding', 'Acquired Von Willebrand Syndrome', 'Acute Bronchitis', 'Anxiety Disorders Treatment', 'Bacterial Brain Abscess', 'Bleeding Peptic Ulcers', 'Chronic Infectious Diseases', 'Colonic Ischemia', 'Lactic Acidosis', 'Lyme Disease', 'Thrombotic Thrombocytopenic Purpura (Ttp)', 'Acute Bacterial Meningitis']",1,1,0,0,0,0,0,0,0,0,DHAKA-1209
21,Dr. Fatema Jannatul Afrose Nimme,"['MBBS', 'MPH', 'MS']",Dermatologist,5,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Acne', 'Allergic Bronchopulmonary Aspergillosis', 'Allergic Conjunctivitis', 'Allergic Enteropathy', 'Allergic Rhinitis', 'Allergy & Immunotheraphy', 'Allergy Skin Prick Test', 'Bacterial Skin Infection Treatment', 'Cellulitis & Skin Abscesses', 'Chronic Skin Allergy', 'Dimple Creation', 'Dull Skin', 'Dull Skin Treatment', 'Fractional Co2 Laser Skin Resurfacing', 'Lip Reconstruction', 'Pimples Treatment', 'Sun Burn Treatment', 'Hair Disease']",1,0,0,0,1,0,0,0,0,1,DHAKA-1209
22,Assoc. Prof. Dr. Tamjida Farhana,"['MBBS', 'FCPS', 'MCPS', 'DO']",Ophthalmologist,12,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Amblyopia (Lazy Eye)', 'Anophthalmia (Absent Eye)', 'Cataract & Lasik Eye Surgery', 'Chronic Eye Diseases', 'Diabetic Eye Checkup', 'Dry Eye - Evaluation / Treatment', 'Dry Eyes', 'Eye Cancer', 'Eye Checkup - General', 'Eye Disorder', 'Eye Exercises For Double Vision', 'Eye Patch Therapy', 'Eye Problems', 'Eye Surgery', 'Eye Ultrasound', 'Eyebrow Design']",1,1,0,0,0,1,0,0,0,0,DHAKA-1209
23,Prof. Dr. Amit Wajib,"['MBBS', 'FCPS', 'MD']",Neurologist,16,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Bacterial Brain Abscess', 'Brain Aneurysm Coiling', 'Brain Hemorrhage', 'Brain Infection', 'Brain Mapping', 'Neurourology', 'Peripheral Neuropathies', 'Traumatic Brain Injury (Tbi) Treatment', 'Trigeminal Neuralgia', 'Meningitis']",1,1,0,1,0,0,0,0,0,0,DHAKA-1209
24,Dr. Mausumi Iqbal,"['BDS', 'FCPS', 'FHN', 'FTMJ']",Maxillofacial and Dental Surgeon,10,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Artificial Teeth', 'Dental Braces Fixing', 'Dental Caries', 'Dental Checkup (General)', 'Dental Crowns', 'Dental Fillings', 'Dental Implants', 'Dental Implants', 'Impacted Teeth', 'Impacted Teeth', 'Straightening Teeth', 'Sensitive Teeth']",0,1,0,0,0,0,0,0,1,0,DHAKA-1209
25,Prof. Dr. Manzoor Hossain,"['MBBS', 'DCH', 'MRCP', 'FCPS', 'FRCP', 'FRCP']","Pediatrician
Pediatric Cardiologist",40,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Abdominoperineal Resection (Pediatric)', 'Advanced Pediatric Life Support (Apls)', 'Bone Marrow Transplant(Pediatrics)', 'Exchange Transfusion (Pediatric)', 'Health Checkup (Pediatric)', 'Health Checkup (Pediatric)', 'Pediatric Allergy', 'Pediatric Critical Care', 'Pediatric Dermatology', 'Pediatric Diabetes', 'Pediatric Emergencies', 'Pediatric Medicine']",1,1,0,0,0,0,0,0,0,0,DHAKA-1209
26,Prof. Dr. Md. Lutful Kabir,"['MBBS', 'MRCP', 'FRCP']",Medicine Specialist,26,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Adolescent Medicine', 'Aesthetic Medicine', 'Cardiac Medicine', 'Cognitive Remediation Therapy (Crt)', 'Dengue Fever Treatment', 'Family Medicine', 'Fetal Medicine', 'Fetomaternal Medicine', 'General Medicine', 'Geriatric Medicine', 'Immediate Dentures', 'Kidney Medicine', 'Lung & Mediastinal Tumors', 'Mediastinoscopy', 'Medical Advisor', 'Typhoid Fever Treatment']",1,0,0,0,0,0,0,0,0,0,DHAKA-1209
27,Asst. Prof. Dr. Md. Elias Bhuiyan,"['MBBS', 'FCPS']",Medicine Specialist,10,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Adolescent Medicine', 'Aesthetic Medicine', 'Cardiac Medicine', 'Cognitive Remediation Therapy (Crt)', 'Critical Care Medicine', 'Family Medicine', 'Fetal Medicine', 'Fetomaternal Medicine', 'General Medicine', 'Geriatric Medicine', 'Immediate Dentures', 'Kidney Medicine', 'Lung & Mediastinal Tumors', 'Mediastinal Tumor']",1,1,0,0,0,0,0,0,0,0,DHAKA-1209
28,Asst. Prof. Dr. Nusrat Zarin,"['MBBS', 'MD']",Endocrinologist,8,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Diabetes', 'Diabetes In Children', 'Diabetes Renal Failure', 'Growth Hormone Disorders', 'Hormonal Therapy', 'Hormone Testing', 'Hyper / Hypo - Thyroid Treatment', 'Hyperthyroidism', 'Insulin Hormone', 'Parathyroid Gland']",1,0,0,1,0,0,0,0,0,0,DHAKA-1209
29,Asst. Prof. Dr. Lima Asrin Sayami,"['MBBS', 'FCPS', 'MRCP']",Cardiologist,15,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Aesthetic Medicine', 'Cardiac Disease', 'Cardiology', 'Cardiovascular Treatment', 'Congenital Heart Disease', 'Diagnostic Cardiovascular Imaging', 'Fast Heartbeat', 'General Health', 'General Medicine', 'Heart Muscle Inflammation', 'Medical Advisor', 'Medical Emergencies', 'Chronic Cardiac Failure', 'Cardiac Ablation', 'Cardiac Ablation', 'Cardiac Anesthesia']",1,1,0,0,0,0,0,0,0,0,DHAKA-1209
30,Assoc. Prof. Dr. Md. Salahuddin Farugue,"['MBBS', 'FCPS', 'MS']",Urologist,16,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Bladder Control Problems', 'Cystocele', 'Epididymitis', 'Erectile Dysfunction (Ed)', 'Hydronephrosis', 'Kidney Stones', 'Neurogenic Bladder', ""Peyronie'S Disease"", 'Prostate Problems', 'Pyelonephritis', 'Ureteral Stricture', 'Urinary Tract Infections', 'Urologic Diseases', 'Orchitis']",1,1,0,0,1,0,0,0,0,0,DHAKA-1209
31,Asst. Prof. Dr. Adnan Yousuf Chowdhury,"['MBBS', 'MCPS', 'MD']",Respiratory Specialist,19,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Acute Bronchitis', 'Asbestosis', 'Chronic Bronchitis', 'Chronic Cough', 'Cystic Fibrosis', 'Emphysema', 'Hypersensitivity Pneumonitis', 'Lung Abscess', 'Pleural Effusion', 'Pneumonia', 'Pulmonary Edema', 'Pulmonary Hypertension', 'Tuberculosis', 'Primary Ciliary Dyskinesia (Pcd)']",1,0,0,1,0,1,0,0,0,0,DHAKA-1209
32,Dr. Subrata Poddar Choyon,"['MBBS', 'BCS', 'FCPS', 'MD', 'MACP']",Gastroenterologist,13,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Adolescent Medicine', 'Aesthetic Medicine', 'Cardiac Medicine', 'Cognitive Remediation Therapy (Crt)', 'Critical Care Medicine', 'Family Medicine', 'Fetal Medicine', 'Fetomaternal Medicine', 'General Medicine', 'Geriatric Medicine', 'Immediate Dentures', 'Kidney Medicine', 'Maternal Fetal Medicine', 'Medical Advisor']",1,1,1,1,0,0,0,0,0,0,DHAKA-1209
33,Prof. Dr. Iffat Ara,"['MBBS', 'FCPS', 'M.MED']",Gynecologist & Obstetrician,25,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Abortion / Medical Termination Of Pregnancy (Mtp)', 'Advaced Laproscopic Gynaecological Surgery', 'Advice To Pregnant Women', 'All Gynae Surgery', 'Cosmetic Laser Gynaecologist', 'Gynae Check Up', 'Gynae Problems', 'Gynaec Laparoscopy', 'Gynaecological Endoscopy', 'Gynec Advices', 'Maternal Care', 'Maternal Care/ Checkup', 'Maternal Fetal Medicine']",1,1,0,0,0,0,0,0,0,0,DHAKA-1209
34,Asst. Prof. Dr. Md. Merazul Islam Sheikh Meraz,"['MBBS', 'BCS']",Neurologist,15,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Anxiety Neurosis', 'Brain Aneursym Surgery', 'Brain Aneurysm Coiling', 'Brain Hemorrhage', 'Brain Infection', 'Brain Mapping', 'Brain Spine Tb', 'Brain Suite', 'Clinical Neurologist', 'Brain Surgery']",1,0,1,0,0,0,0,0,0,0,DHAKA-1209
35,Prof. Dr. Syed Shamsuddin Ahmed,"['MBBS', 'DTM', 'PHD', ' JAPAN)']",Plastic Surgeon,35,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Acne Treatment', 'Birthmark Reduction', 'Body Contouring Surgery', 'Burn Scar Reconstruction', 'Cosmelan Treatment', 'Cosmetic Surgery', 'Dermatosurgery', 'Dimple Creation', 'Lip Reconstruction', 'Liposuction', 'Reconstructive Surgery', 'Rhinoplasty', 'Vascular Malformation Treatment', 'Webbed Fingers / Toes Correction', 'Lip Augmentation']",1,0,0,0,0,0,0,0,0,0,DHAKA-1209
36,Prof. Dr. Mushfiqur Rahman,"['MBBS', 'FCPS', 'FICS']",Otolaryngologists (ENT),20,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Cochlear Implants', 'Ear Drum Repair', 'Ear Micro Surgery', 'Frontal Sinus Surgery', 'Head And Neck Tumor / Cancer Surgery', 'Microsurgery Of The Larynx', 'Nasal Endoscopy', 'Nasal Polypectomy', 'Reconstructive Middle Ear Surgery', 'Rhinoplasty', 'Skull Base Surgery', 'Sleep Apnea', 'Surgery For Snoring', 'Tonsillitis Treatment', 'Tympanoplasty', 'Tonsillectomy', 'Pediatric Otolaryngology', 'Nasal Polyps']",1,1,0,0,0,0,0,0,0,0,DHAKA-1209
37,Prof. Dr. Rowshan Ara Begum,"['MBBS', 'MPH', 'M.PHIL', 'FCPS']",Oncologist,16,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Breast Oncologist', 'Breast Oncology', 'Bronchial Asthma Treatment', 'Gastrointestinal Oncology', 'Gynecologic Oncology', 'Haemato Oncology', 'Hemato Oncology', 'Hematological Oncology', 'Laparoscopic Oncology', 'Medical Oncology', 'Neuro-Oncology', 'Oncosurgeon', 'Bronchoscopy']",1,1,0,0,0,0,0,0,0,1,DHAKA-1209
38,Asst. Prof. Dr. Shareen Khan,"['MBBS', 'FCPS']",Pediatrician,10,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Abdominoperineal Resection (Pediatric)', 'Acidity In Children', 'Advanced Pediatric Life Support (Apls)', 'Arthritis In Children', 'Asthma In Children', 'Auto-Immune Diseases In Children', 'Behaviour Problem In Children', 'Bone Marrow Transplant(Pediatrics)', 'Health Checkup (Pediatric)', 'Pediatric & Neonatal Emergencies', 'Pediatric Allergy']",1,1,0,0,0,0,0,0,0,0,DHAKA-1209
39,Dr. Sanjoy Sinha,"['MBBS', 'BCS', 'MS', 'AO-BASIC']",Orthopedic Surgeon,10,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Dentofacial Orthopedics', 'Functional Orthopedics', 'General Orthopedic Clinic', 'Jaw Orthopedics', 'Lingual Orthodontics', 'Orthodontics', 'Orthographic Surgery', 'Orthopaedic Diseases', 'Orthopedic In Pitampura', 'Orthopedic Physiotherapy', 'Orthopedic Surgery', 'Orthotic Splints', 'Paediatric Orthopedic Surgeon', 'Paediatrics - Ortho']",1,0,1,0,1,0,0,0,0,0,DHAKA-1209
40,Dr. Nahid Parveen,"['MBBS', 'MS']",Gynecologist & Obstetrician,5,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['All Gynae Surgery', 'Complicated Pregnancy Treatment', 'Diseases In Pregnancy', 'Doppler Scan In Pregnancy', 'Early Pregnancy Scan', 'Gynae Check Up', 'Gynae Problems', 'Gynae Problems', 'Gynaec Laparoscopy', 'Gynaecological Endoscopy', 'Gynec Advices', 'Gynecologic Oncology', 'Laparoscopic Surgery (Obs & Gyn)', 'Ectopic Pregnancy Removal']",1,0,0,0,1,0,0,0,0,0,DHAKA-1209
41,Prof. Dr. Riaz Uddin Ahmad,"['MBBS', 'DDV', 'MCPS', 'FCPS']",Dermatologist,35,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Chronic Skin Allergy', 'Sexual Problems', 'Acne', 'Acne Scar Treatment', 'Allergies', 'Cellulitis & Skin Abscesses', 'Dull Skin Treatment', 'Glutathione - Skin Whitening', 'Hair Loss Treatment', 'Hair Patch', 'Hardening Of The Skin', 'Laser Skin Whitening', 'Lip Reconstruction', 'Lip Reduction', 'Liposuction', 'Pimples Treatment', 'Sun Burn Treatment', 'Dimple Creation']",1,1,0,0,0,1,0,0,0,0,DHAKA-1209
42,Dr. Tamjeed Alam,"['MBBS', 'FCPS']",General Surgeon,17,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Abdominal Surgery', 'Adenoid / Tonsil Surgery', 'Anal Fissure Surgery', 'Diabetic Kidney Disorder', 'General Health', 'General Medicine', 'Health Checkup (General)', 'Hernia Laparoscopic Surgery', 'Hernia Surgery', 'Piles Surgery', 'Umbilical Hernia', 'Bariatric Surgery']",1,1,0,0,0,0,0,0,0,0,DHAKA-1209
43,Dr. M. K Azad,"['MBBS', 'DEM', 'FCPS', 'MACE']","Medicine Specialist
Endocrinologist",17,Islami Bank Central Hospital | Mirpur, Dhaka-1216,"['Adrenal Disorders', ""Alzheimer'S Disease"", 'Arthritis Problem', 'General Medicine', 'Heart Diseases', 'Hyperthyroidism', 'Infectious Diseases', 'Neonatal Medicine', 'Osteoporosis Treatment', 'Parathyroid Diseases', ""Parkinson'S Disease"", 'Pediatric Medicine', 'Thyroid Disorder Treatment', 'Thyroid Disorders In Pregnancy', 'Thyroid Swelling', 'Trauma And Wound Care', 'Trouble Sleeping', 'Vaccination / Immunization', 'Hyperlipidemia']",1,1,0,0,0,0,0,0,0,0,DHAKA-DHAKA-1216
44,Prof. Dr. Md. Shamsul Alam,"['MBBS', 'MCPS', 'MS', 'ADVANCED VATS TRAINING (INDIA)']","General Surgeon
Thoracic Surgeon",40,Farazy Hospital | Banasree, Dhaka-1219,"['Appendix Removal', 'Gall Bladder Surgery', 'Pleural Effusion Treatment', 'Abdominal Fluid', 'Breast Tumor Removal', 'Stomach Tumor Surgery', 'Hernia Repair', 'Resection Of Thoracic Tumors', 'Lobectomy And Pneumonectomy', 'Resection Of Thoracic Tumours And Malignancies', 'Fistula Surgery', 'Biopsy And Lymph Node Excision']",1,0,0,0,1,1,0,0,0,0,DHAKA-1219
45,Asst. Prof. Dr. Md. Asif Ekram,"['MBBS', 'M.PHIL']",Oncologist,19,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Adnexal Tumors', 'Adrenal Cancer', 'Bladder Cancer', 'Bone-Marrow Transfusion', 'Colorectal Cancer', 'Gastrointestinal Stromal Tumors (Gist)', 'Gynecologic Oncology', ""Hodgkin'S Lymphoma"", 'Leukemia', 'Melanoma Treatment', 'Multiple Myeloma', 'Neuroblastoma', 'Pediatric Oncology', 'Soft Tissue Sarcoma', 'Thymic Carcinoma', 'Salivary Gland Tumors']",1,0,0,0,0,0,0,0,0,0,DHAKA-1209
